event_id,event_name,date,location,fight_id,division,title_fight,method,finish_round,match_time_sec,total_rounds,referee,r_name,r_id,r_kd,r_sig_str_landed,r_sig_str_atmpted,r_sig_str_acc,r_total_str_landed,r_total_str_atmpted,r_total_str_acc,r_td_landed,r_td_atmpted,r_td_acc,r_sub_att,r_ctrl,r_head_landed,r_head_atmpted,r_head_acc,r_body_landed,r_body_atmpted,r_body_acc,r_leg_landed,r_leg_atmpted,r_leg_acc,r_dist_landed,r_dist_atmpted,r_dist_acc,r_clinch_landed,r_clinch_atmpted,r_clinch_acc,r_ground_landed,r_ground_atmpted,r_ground_acc,r_landed_head_per,r_landed_body_per,r_landed_leg_per,r_landed_dist_per,r_landed_clinch_per,r_landed_ground_per,r_nick_name,r_wins,r_losses,r_draws,r_height,r_weight,r_reach,r_stance,r_dob,r_splm,r_str_acc,r_sapm,r_str_def,r_td_avg,r_td_avg_acc,r_td_def,r_sub_avg,b_name,b_id,b_kd,b_sig_str_landed,b_sig_str_atmpted,b_sig_str_acc,b_total_str_landed,b_total_str_atmpted,b_total_str_acc,b_td_landed,b_td_atmpted,b_td_acc,b_sub_att,b_ctrl,b_head_landed,b_head_atmpted,b_head_acc,b_body_landed,b_body_atmpted,b_body_acc,b_leg_landed,b_leg_atmpted,b_leg_acc,b_dist_landed,b_dist_atmpted,b_dist_acc,b_clinch_landed,b_clinch_atmpted,b_clinch_acc,b_ground_landed,b_ground_atmpted,b_ground_acc,b_landed_head_per,b_landed_body_per,b_landed_leg_per,b_landed_dist_per,b_landed_clinch_per,b_landed_ground_per,b_nick_name,b_wins,b_losses,b_draws,b_height,b_weight,b_reach,b_stance,b_dob,b_splm,b_str_acc,b_sapm,b_str_def,b_td_avg,b_td_avg_acc,b_td_def,b_sub_avg,winner,winner_id,r_mmr_pre,b_mmr_pre,r_mu_pre,r_sigma_pre,b_mu_pre,b_sigma_pre
08ae5cd9aef7ddd3,UFC 29: Defense of the Belts,2000-12-16,"Tokyo, Japan",53a736ebc356cc4a,welterweight,1,Submission,2,118.0,5.0,John McCarthy,Pat Miletich,cedfdf8d423d500c,0.0,16.0,28.0,57.0,31.0,43.0,72.0,3.0,3.0,100.0,2.0,263.0,15.0,25.0,60.0,0.0,0.0,,1.0,3.0,33.0,5.0,15.0,33.0,1.0,1.0,100.0,10.0,12.0,83.0,93.0,0.0,6.0,31.0,6.0,62.0,The Croatian Sensation,29.0,7.0,2.0,177.8,77.11,,Orthodox,1968/03/09,1.79,45.0,1.66,63.0,1.96,100.0,54.0,1.0,Kenichi Yamamoto,9f488f520ed25bbf,0.0,3.0,7.0,42.0,3.0,7.0,43.0,0.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,2.0,100.0,1.0,2.0,50.0,2.0,6.0,33.0,1.0,1.0,100.0,0.0,0.0,,0.0,66.0,33.0,66.0,33.0,0.0,,5.0,12.0,2.0,182.88,77.11,,Orthodox,1976/07/11,0.3,46.0,1.93,38.0,0.0,0.0,10.0,0.3,Pat Miletich,cedfdf8d423d500c,0.0,0.0,25.0,8.333333333333334,25.0,8.333333333333334
08ae5cd9aef7ddd3,UFC 29: Defense of the Belts,2000-12-16,"Tokyo, Japan",5a4f6ff454b1eeb8,welterweight,0,KO/TKO,1,144.0,3.0,John McCarthy,Fabiano Iha,263ebd4a669e1e98,0.0,8.0,12.0,66.0,16.0,20.0,80.0,1.0,1.0,100.0,0.0,116.0,8.0,12.0,67.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,8.0,12.0,67.0,100.0,0.0,0.0,0.0,0.0,100.0,,9.0,5.0,0.0,172.72,70.31,,Orthodox,1970/07/28,1.73,47.0,2.49,42.0,2.88,40.0,50.0,2.9,Daiju Takase,4f74c8be51db8a37,0.0,0.0,2.0,0.0,1.0,3.0,33.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,12.0,15.0,2.0,182.88,77.11,,Southpaw,1978/04/20,0.49,30.0,1.64,47.0,0.84,17.0,21.0,1.2,Fabiano Iha,263ebd4a669e1e98,0.0,0.0,25.0,8.333333333333334,25.0,8.333333333333334
08ae5cd9aef7ddd3,UFC 29: Defense of the Belts,2000-12-16,"Tokyo, Japan",9ea4087371f7a892,middleweight,0,Decision - Unanimous,3,300.0,3.0,Mario Yamasaki,Chuck Liddell,a390eb8a9b2df298,0.0,42.0,77.0,54.0,45.0,80.0,56.0,0.0,0.0,,0.0,100.0,18.0,48.0,38.0,5.0,5.0,100.0,19.0,24.0,79.0,31.0,62.0,50.0,5.0,9.0,56.0,6.0,6.0,100.0,42.0,11.0,45.0,73.0,11.0,14.0,The Iceman,21.0,8.0,0.0,187.96,92.99,193.04,Orthodox,1969/12/17,2.97,35.0,2.71,56.0,0.44,75.0,81.0,0.0,Jeff Monson,cbfd1d34356a004c,0.0,6.0,20.0,30.0,18.0,32.0,56.0,1.0,17.0,5.0,0.0,63.0,5.0,19.0,26.0,1.0,1.0,100.0,0.0,0.0,,4.0,16.0,25.0,2.0,4.0,50.0,0.0,0.0,,83.0,16.0,0.0,66.0,33.0,0.0,The Snowman,60.0,26.0,1.0,175.26,112.04,187.96,Orthodox,1971/01/18,0.97,30.0,2.87,59.0,1.06,12.0,66.0,0.7,Chuck Liddell,a390eb8a9b2df298,0.0,0.0,25.0,8.333333333333334,25.0,8.333333333333334
08ae5cd9aef7ddd3,UFC 29: Defense of the Belts,2000-12-16,"Tokyo, Japan",c39728802a8409ee,middleweight,0,KO/TKO,1,178.0,3.0,John McCarthy,Matt Lindland,0e041d43a47d2e4b,0.0,17.0,26.0,65.0,39.0,52.0,75.0,0.0,0.0,,0.0,126.0,17.0,26.0,65.0,0.0,0.0,,0.0,0.0,,0.0,2.0,0.0,1.0,1.0,100.0,16.0,23.0,70.0,100.0,0.0,0.0,0.0,5.0,94.0,The Law,22.0,9.0,0.0,182.88,83.91,187.96,Southpaw,1970/05/17,2.62,50.0,1.56,52.0,3.01,48.0,60.0,1.3,Yoji Anjo,e06fd1260ac865a7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Mr. 200%,0.0,5.0,1.0,180.34,92.99,,Orthodox,1967/03/28,0.0,0.0,3.13,25.0,0.0,0.0,0.0,0.0,Matt Lindland,0e041d43a47d2e4b,0.0,0.0,25.0,8.333333333333334,25.0,8.333333333333334
2b1587a3376ab743,UFC 30: Battle on the Boardwalk,2001-02-23,"Atlantic City, New Jersey, USA",4a1f37200bc69376,middleweight,0,Submission,1,172.0,3.0,Mario Yamasaki,Elvis Sinosic,817e0bdf08efce2e,0.0,2.0,5.0,40.0,21.0,24.0,88.0,0.0,0.0,,2.0,0.0,0.0,3.0,0.0,1.0,1.0,100.0,1.0,1.0,100.0,2.0,5.0,40.0,0.0,0.0,,0.0,0.0,,0.0,50.0,50.0,100.0,0.0,0.0,The King of Rock n' Rumble,7.0,11.0,2.0,190.5,92.99,195.58,Orthodox,1971/02/13,1.13,37.0,4.6,53.0,0.0,0.0,0.0,1.2,Jeremy Horn,8d26912cd2aeb366,0.0,4.0,10.0,40.0,28.0,37.0,76.0,0.0,0.0,,0.0,150.0,3.0,8.0,38.0,1.0,2.0,50.0,0.0,0.0,,2.0,8.0,25.0,0.0,0.0,,2.0,2.0,100.0,75.0,25.0,0.0,50.0,0.0,50.0,Gumby,91.0,22.0,5.0,185.42,83.91,187.96,Orthodox,1975/08/25,1.19,39.0,1.99,55.0,1.83,38.0,29.0,1.1,Elvis Sinosic,817e0bdf08efce2e,0.0,0.0,25.0,8.333333333333334,25.0,8.333333333333334
2b1587a3376ab743,UFC 30: Battle on the Boardwalk,2001-02-23,"Atlantic City, New Jersey, USA",651da45cc83ce011,heavyweight,0,Overturned,1,207.0,2.0,John McCarthy,Bobby Hoffman,afaad7d6a581e307,1.0,20.0,23.0,86.0,64.0,67.0,96.0,0.0,0.0,,0.0,1.0,4.0,6.0,67.0,16.0,17.0,94.0,0.0,0.0,,0.0,1.0,0.0,20.0,22.0,91.0,0.0,0.0,,20.0,80.0,0.0,0.0,100.0,0.0,The Truth,36.0,10.0,1.0,187.96,111.13,,Orthodox,1968/10/28,2.02,70.0,1.32,19.0,1.17,50.0,0.0,1.2,Mark Robinson,4604ab1de9058474,0.0,0.0,1.0,0.0,1.0,2.0,50.0,0.0,0.0,,0.0,185.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,White Rhino,1.0,0.0,0.0,182.88,120.2,,Orthodox,,0.0,0.0,5.8,13.0,0.0,0.0,0.0,0.0,,,0.0,0.0,25.0,8.333333333333334,25.0,8.333333333333334
2b1587a3376ab743,UFC 30: Battle on the Boardwalk,2001-02-23,"Atlantic City, New Jersey, USA",74d0da1f9df17b9e,welterweight,0,Submission,1,100.0,3.0,Mario Yamasaki,Fabiano Iha,263ebd4a669e1e98,0.0,3.0,6.0,50.0,3.0,6.0,50.0,1.0,2.0,50.0,1.0,51.0,0.0,3.0,0.0,2.0,2.0,100.0,1.0,1.0,100.0,2.0,5.0,40.0,1.0,1.0,100.0,0.0,0.0,,0.0,66.0,33.0,66.0,33.0,0.0,,9.0,5.0,0.0,172.72,70.31,,Orthodox,1970/07/28,1.73,47.0,2.49,42.0,2.88,40.0,50.0,2.9,Phil Johns,a8fa0c4e95512806,0.0,2.0,3.0,66.0,6.0,7.0,86.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,,1.0,1.0,100.0,1.0,2.0,50.0,1.0,2.0,50.0,1.0,1.0,100.0,0.0,0.0,,0.0,50.0,50.0,50.0,50.0,0.0,,30.0,14.0,1.0,157.48,77.11,,Southpaw,1968/10/22,1.2,66.0,1.8,50.0,0.0,0.0,50.0,0.0,Fabiano Iha,263ebd4a669e1e98,7.100331216845813,0.0,29.034874288772468,7.311514357308885,25.0,8.333333333333334
2b1587a3376ab743,UFC 30: Battle on the Boardwalk,2001-02-23,"Atlantic City, New Jersey, USA",75a401066ad784f6,heavyweight,0,KO/TKO,2,261.0,3.0,Mario Yamasaki,Pedro Rizzo,b44f39a5c6596953,1.0,31.0,86.0,36.0,35.0,90.0,39.0,0.0,0.0,,0.0,1.0,18.0,67.0,27.0,3.0,3.0,100.0,10.0,16.0,62.0,23.0,71.0,32.0,8.0,15.0,53.0,0.0,0.0,,58.0,9.0,32.0,74.0,25.0,0.0,The Rock,20.0,11.0,0.0,185.42,109.32,,Orthodox,1974/05/03,1.93,34.0,3.02,50.0,0.26,28.0,78.0,0.0,Josh Barnett,ad3f53c454cbbead,0.0,39.0,101.0,38.0,41.0,103.0,40.0,0.0,0.0,,0.0,0.0,17.0,74.0,23.0,6.0,9.0,67.0,16.0,18.0,89.0,29.0,78.0,37.0,10.0,23.0,43.0,0.0,0.0,,43.0,15.0,41.0,74.0,25.0,0.0,The Warmaster,35.0,8.0,0.0,190.5,113.4,198.12,Orthodox,1977/11/10,3.2,50.0,2.11,57.0,1.26,55.0,55.0,1.4,Pedro Rizzo,b44f39a5c6596953,0.0,7.082747699952481,25.0,8.333333333333334,29.034874288772468,7.317375529606663
2b1587a3376ab743,UFC 30: Battle on the Boardwalk,2001-02-23,"Atlantic City, New Jersey, USA",a38ec65ac140fcf8,lightweight,1,Decision - Unanimous,5,300.0,5.0,John McCarthy,Jens Pulver,44260175069b6276,0.0,50.0,131.0,38.0,103.0,185.0,56.0,0.0,0.0,,0.0,222.0,38.0,118.0,32.0,6.0,7.0,86.0,6.0,6.0,100.0,31.0,96.0,32.0,18.0,30.0,60.0,1.0,5.0,20.0,76.0,12.0,12.0,62.0,36.0,2.0,Little Evil,27.0,19.0,1.0,170.18,65.77,177.8,Southpaw,1974/12/06,2.12,37.0,3.13,56.0,0.22,33.0,63.0,0.3,Caol Uno,eb1723480fa2f96c,0.0,50.0,101.0,49.0,56.0,107.0,52.0,3.0,25.0,12.0,0.0,114.0,29.0,70.0,41.0,4.0,5.0,80.0,17.0,26.0,65.0,41.0,89.0,46.0,7.0,10.0,70.0,2.0,2.0,100.0,58.0,8.0,34.0,82.0,14.0,4.0,Uno Shoten,33.0,19.0,5.0,170.18,70.31,177.8,Southpaw,1975/05/08,1.91,49.0,1.9,50.0,1.95,31.0,37.0,0.5,Jens Pulver,44260175069b6276,7.082747699952481,0.0,29.034874288772468,7.317375529606663,25.0,8.333333333333334
2b1587a3376ab743,UFC 30: Battle on the Boardwalk,2001-02-23,"Atlantic City, New Jersey, USA",a949b05c64e43131,middleweight,0,Decision - Unanimous,2,300.0,2.0,Mason White,Phil Baroni,1652f3213655b935,0.0,39.0,54.0,72.0,210.0,230.0,91.0,2.0,2.0,100.0,0.0,585.0,13.0,28.0,46.0,26.0,26.0,100.0,0.0,0.0,,1.0,2.0,50.0,0.0,0.0,,38.0,52.0,73.0,33.0,66.0,0.0,2.0,0.0,97.0,The New York Bad Ass,15.0,18.0,0.0,175.26,77.11,182.88,Orthodox,1976/04/16,2.77,45.0,3.93,40.0,1.46,47.0,60.0,0.5,Curtis Stout,e09dbbd5fe3f0fe2,0.0,2.0,3.0,66.0,41.0,42.0,98.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,2.0,3.0,67.0,2.0,3.0,67.0,0.0,0.0,,0.0,0.0,,0.0,0.0,100.0,100.0,0.0,0.0,,11.0,12.0,1.0,185.42,83.91,,Southpaw,1973/11/07,0.69,67.0,3.2,29.0,0.0,0.0,20.0,0.0,Phil Baroni,1652f3213655b935,0.0,0.0,25.0,8.333333333333334,25.0,8.333333333333334
