date,fighter_a,fighter_b,odds_a,odds_b
2010-03-21,Eric Schafer,Jason Brilz,140.0,-160.0
2010-03-21,Brandon Vera,Jon Jones,215.0,-235.0
2010-03-21,Junior Dos Santos,Gabriel Gonzaga,-250.0,230.0
2010-03-21,Cheick Kongo,Paul Buentello,-345.0,315.0
2010-03-21,Alessio Sakara,James Irvin,-120.0,100.0
2010-03-21,Mike Pierce,Julio Paulino,-420.0,335.0
2010-03-21,Eliot Marshall,Vladimir Matyushenko,145.0,-165.0
2010-03-21,Duane Ludwig,Darren Elkins,-155.0,135.0
2010-03-21,John Howard,Daniel Roberts,-210.0,175.0
2010-03-21,Brendan Schaub,Chase Gormley,-260.0,220.0
2010-03-21,Clay Guida,Shannon Gugerty,-420.0,335.0
2010-03-27,Georges St-Pierre,Dan Hardy,-650.0,550.0
2010-03-27,Frank Mir,Shane Carwin,-150.0,140.0
2010-03-27,Kurt Pellegrino,Fabricio Camoes,-210.0,190.0
2010-03-27,Ben Saunders,Jon Fitch,295.0,-325.0
2010-03-27,Jim Miller,Mark Bocek,-320.0,290.0
2010-03-27,Nate Diaz,Rory Markham,-235.0,195.0
2010-03-27,Ricardo Almeida,Matt Brown,-185.0,160.0
2010-03-27,Rousimar Palhares,Tomasz Drwal,-220.0,180.0
2010-03-27,Rodney Wallace,Jared Hamman,-160.0,140.0
2010-03-27,Matthew Riddle,Greg Soto,-230.0,190.0
2010-03-31,Kenny Florian,Takanori Gomi,-360.0,300.0
2010-03-31,Roy Nelson,Stefan Struve,-350.0,290.0
2010-03-31,Nate Quarry,Jorge Rivera,-230.0,190.0
2010-03-31,Ross Pearson,Dennis Siver,-220.0,180.0
2010-03-31,Andre Winner,Rafaello Oliveira,-190.0,165.0
2010-03-31,Charlie Brenneman,Jason High,173.0,-205.0
2010-03-31,Rob Emerson,Nik Lentz,130.0,-150.0
2010-03-31,Caol Uno,Gleison Tibau,270.0,-330.0
2010-03-31,Yushin Okami,Lucio Linhares,-650.0,475.0
2010-03-31,Gerald Harris,Mario Miranda,-155.0,135.0
2010-03-31,Jacob Volkmann,Ronys Torres,190.0,-230.0
2010-04-10,Matt Hughes,Renzo Gracie,-380.0,340.0
2010-04-10,Anderson Silva,Demian Maia,-675.0,550.0
2010-04-10,BJ Penn,Frankie Edgar,-780.0,620.0
2010-04-10,Terry Etim,Rafael Dos Anjos,-135.0,125.0
2010-04-10,Jon Madsen,Mostapha Al-Turk,-245.0,205.0
2010-04-10,Alexander Gustafsson,Phil Davis,350.0,-440.0
2010-04-10,Nick Osipczak,Rick Story,145.0,-165.0
2010-04-10,DaMarques Johnson,Brad Blackburn,140.0,-160.0
2010-04-10,Paul Kelly,Matt Veach,220.0,-260.0
2010-04-10,Kendall Grove,Mark Munoz,160.0,-170.0
2010-05-08,Lyoto Machida,Mauricio Rua,-190.0,175.0
2010-05-08,Josh Koscheck,Paul Daley,-250.0,230.0
2010-05-08,Sam Stout,Jeremy Stephens,-190.0,175.0
2010-05-08,Kevin Ferguson,Matt Mitrione,-103.0,-107.0
2010-05-08,Patrick Cote,Alan Belcher,107.0,-117.0
2010-05-08,Tom Lawlor,Joe Doerksen,-600.0,450.0
2010-05-08,TJ Grant,Johny Hendricks,325.0,-400.0
2010-05-08,Joey Beltran,Tim Hague,190.0,-230.0
2010-05-08,Yoshiyuki Yoshida,Mike Guymon,-255.0,215.0
2010-05-08,Jason MacDonald,John Salter,-175.0,155.0
2010-05-08,Marcus Davis,Jonathan Goulet,-440.0,350.0
2010-05-29,Todd Duffee,Mike Russow,-275.0,250.0
2010-05-29,Rampage Jackson,Rashad Evans,-109.0,-101.0
2010-05-29,Michael Bisping,Dan Miller,-195.0,180.0
2010-05-29,Jason Brilz,Rogerio Nogueira,435.0,-500.0
2010-05-29,Diego Sanchez,John Hathaway,-215.0,195.0
2010-05-29,Efrain Escudero,Dan Lauzon,-400.0,355.0
2010-05-29,Melvin Guillard,Waylon Lowe,-370.0,310.0
2010-05-29,Luiz Cane,Cyrille Diabate,-310.0,255.0
2010-05-29,Aaron Riley,Joe Brammer,-200.0,170.0
2010-05-29,Jesse Forbes,Ryan Jensen,-150.0,130.0
2010-05-29,Amir Sadollah,Dong Hyun Kim,100.0,-110.0
2010-06-12,Chuck Liddell,Rich Franklin,-119.0,109.0
2010-06-12,Mirko Cro Cop,Pat Barry,163.0,-173.0
2010-06-12,Paulo Thiago,Martin Kampmann,-218.0,198.0
2010-06-12,Ben Rothwell,Gilbert Yvel,170.0,-185.0
2010-06-12,Carlos Condit,Rory MacDonald,118.0,-128.0
2010-06-12,Tyson Griffin,Evan Dunham,-180.0,168.0
2010-06-12,Mac Danzig,Matt Wiman,-102.0,-108.0
2010-06-12,David Loiseau,Mario Miranda,205.0,-245.0
2010-06-12,James Wilks,Peter Sobotta,-325.0,265.0
2010-06-12,Ricardo Funch,Claude Patrick,215.0,-255.0
2010-06-12,Mike Pyle,Jesse Lennox,110.0,-130.0
2010-06-19,Court McGee,Kris McCray,-220.0,180.0
2010-06-19,Chris Leben,Aaron Simpson,280.0,-310.0
2010-06-19,Spencer Fisher,Dennis Siver,-190.0,165.0
2010-06-19,Jamie Yager,Rich Attonito,120.0,-140.0
2010-06-19,Keith Jardine,Matt Hamill,140.0,-150.0
2010-06-19,Brad Tavares,Seth Baczynski,-220.0,180.0
2010-06-19,Josh Bryant,Kyle Noke,155.0,-175.0
2010-06-19,Chris Camozzi,James Hammortree,-160.0,140.0
2010-06-19,James McSweeney,Travis Browne,165.0,-190.0
2010-06-19,John Gunderson,Mark Holst,-200.0,170.0
2010-07-03,Krzysztof Soszynski,Stephan Bonnar,-190.0,175.0
2010-07-03,Brock Lesnar,Shane Carwin,-145.0,135.0
2010-07-03,Chris Leben,Yoshihiro Akiyama,177.0,-192.0
2010-07-03,Chris Lytle,Matt Brown,-180.0,168.0
2010-07-03,George Sotiropoulos,Kurt Pellegrino,-158.0,148.0
2010-07-03,Jon Madsen,Karlos Vemola,125.0,-145.0
2010-07-03,Seth Petruzelli,Ricardo Romero,150.0,-170.0
2010-07-03,Kendall Grove,Goran Reljic,130.0,-140.0
2010-07-03,Gerald Harris,David Branch,-250.0,210.0
2010-07-03,Forrest Petz,Daniel Roberts,170.0,-200.0
2010-07-03,Brendan Schaub,Chris Tuchscherer,-305.0,275.0
2010-08-01,Rob Kimmons,Steve Steinbeiss,-195.0,168.0
2010-08-01,Darren Elkins,Charles Oliveira,200.0,-240.0
2010-08-01,Brian Stann,Mike Massenzio,180.0,-220.0
2010-08-01,James Irvin,Igor Pokrajac,-160.0,140.0
2010-08-01,DaMarques Johnson,Matthew Riddle,180.0,-220.0
2010-08-01,Paul Kelly,Jacob Volkmann,-105.0,-115.0
2010-08-01,Tyson Griffin,Takanori Gomi,-320.0,290.0
2010-08-01,John Howard,Jake Ellenberger,181.0,-196.0
2010-08-01,Mark Munoz,Yushin Okami,185.0,-200.0
2010-08-01,Jon Jones,Vladimir Matyushenko,-752.0,602.0
2010-08-07,Clay Guida,Rafael Dos Anjos,116.0,-126.0
2010-08-07,Matt Hughes,Ricardo Almeida,178.0,-193.0
2010-08-07,Anderson Silva,Chael Sonnen,-460.0,410.0
2010-08-07,Jon Fitch,Thiago Alves,116.0,-126.0
2010-08-07,Roy Nelson,Junior Dos Santos,315.0,-345.0
2010-08-07,Rodney Wallace,Phil Davis,600.0,-900.0
2010-08-07,Ben Saunders,Dennis Hallman,-300.0,250.0
2010-08-07,Johny Hendricks,Charlie Brenneman,-370.0,310.0
2010-08-07,Todd Brown,Tim Boetsch,290.0,-350.0
2010-08-07,Stefan Struve,Christian Morecraft,-200.0,170.0
2010-08-07,Dustin Hazelett,Rick Story,-150.0,130.0
2010-08-28,Frankie Edgar,BJ Penn,248.0,-270.0
2010-08-28,Randy Couture,James Toney,-600.0,500.0
2010-08-28,Demian Maia,Mario Miranda,-210.0,190.0
2010-08-28,Kenny Florian,Gray Maynard,-140.0,130.0
2010-08-28,Nate Diaz,Marcus Davis,-190.0,175.0
2010-08-28,Joe Lauzon,Gabe Ruediger,-320.0,290.0
2010-08-28,Andre Winner,Nik Lentz,-115.0,105.0
2010-08-28,Dan Miller,John Salter,-230.0,190.0
2010-08-28,Nick Osipczak,Greg Soto,-200.0,170.0
2010-08-28,Mike Pierce,Amilcar Alves,-325.0,265.0
2010-09-15,Nate Marquardt,Rousimar Palhares,-235.0,215.0
2010-09-15,Efrain Escudero,Charles Oliveira,-155.0,145.0
2010-09-15,Jim Miller,Gleison Tibau,-125.0,115.0
2010-09-15,Cole Miller,Ross Pearson,190.0,-210.0
2010-09-15,Brian Foster,Forrest Petz,-240.0,200.0
2010-09-15,Jared Hamman,Kyle Kingsbury,-185.0,160.0
2010-09-15,Tomasz Drwal,David Branch,-155.0,135.0
2010-09-15,Rich Attonito,Rafael Natal,168.0,-195.0
2010-09-15,TJ Waldburger,David Mitchell,140.0,-160.0
2010-09-15,Yves Edwards,John Gunderson,105.0,-125.0
2010-09-25,Sean Sherk,Evan Dunham,167.0,-178.0
2010-09-25,Frank Mir,Mirko Cro Cop,-210.0,190.0
2010-09-25,Rogerio Nogueira,Ryan Bader,160.0,-170.0
2010-09-25,Matt Serra,Chris Lytle,125.0,-135.0
2010-09-25,Melvin Guillard,Jeremy Stephens,-105.0,-105.0
2010-09-25,Mark Hunt,Sean McCorkle,-190.0,165.0
2010-09-25,Matt Mitrione,Joey Beltran,-174.0,164.0
2010-09-25,Thiago Tavares,Pat Audinwood,-280.0,240.0
2010-09-25,Steve Lopez,Waylon Lowe,140.0,-160.0
2010-09-25,TJ Grant,Julio Paulino,-220.0,180.0
2010-09-25,CB Dollaway,Joe Doerksen,-255.0,235.0
2010-10-16,Michael Bisping,Yoshihiro Akiyama,-210.0,190.0
2010-10-16,Dan Hardy,Carlos Condit,-170.0,160.0
2010-10-16,John Hathaway,Mike Pyle,-475.0,420.0
2010-10-16,James Wilks,Claude Patrick,145.0,-165.0
2010-10-16,Rob Broughton,Vinicius Queiroz,145.0,-165.0
2010-10-16,Paul Sass,Mark Holst,-185.0,160.0
2010-10-16,Spencer Fisher,Curt Warburton,-210.0,175.0
2010-10-16,James McSweeney,Fabio Maldonado,200.0,-240.0
2010-10-16,Cyrille Diabate,Alexander Gustafsson,135.0,-155.0
2010-10-23,Brock Lesnar,Cain Velasquez,-165.0,155.0
2010-10-23,Jake Shields,Martin Kampmann,-170.0,160.0
2010-10-23,Diego Sanchez,Paulo Thiago,130.0,-140.0
2010-10-23,Tito Ortiz,Matt Hamill,163.0,-173.0
2010-10-23,Brendan Schaub,Gabriel Gonzaga,125.0,-145.0
2010-10-23,Court McGee,Ryan Jensen,-250.0,210.0
2010-10-23,Mike Guymon,Daniel Roberts,125.0,-145.0
2010-10-23,Sam Stout,Paul Taylor,-200.0,170.0
2010-10-23,Chris Camozzi,Dongi Yang,-110.0,-110.0
2010-10-23,Jon Madsen,Gilbert Yvel,-225.0,185.0
2010-10-23,Patrick Cote,Tom Lawlor,-175.0,155.0
2010-11-13,Nate Marquardt,Yushin Okami,-190.0,175.0
2010-11-13,Dennis Siver,Andre Winner,105.0,-115.0
2010-11-13,Amir Sadollah,Peter Sobotta,-265.0,245.0
2010-11-13,Krzysztof Soszynski,Goran Reljic,-108.0,-102.0
2010-11-13,Duane Ludwig,Nick Osipczak,280.0,-340.0
2010-11-13,Vladimir Matyushenko,Alexandre Ferreira,-220.0,180.0
2010-11-13,Pascal Krauss,Mark Scanlon,-230.0,190.0
2010-11-13,Kyle Noke,Rob Kimmons,-220.0,180.0
2010-11-13,Seth Petruzelli,Karlos Vemola,-105.0,-115.0
2010-11-13,Kris McCray,Carlos Eduardo Rocha,-115.0,-105.0
2010-11-20,Rampage Jackson,Lyoto Machida,215.0,-235.0
2010-11-20,Gerald Harris,Maiquel Falcao,-250.0,230.0
2010-11-20,Phil Davis,Tim Boetsch,-485.0,425.0
2010-11-20,George Sotiropoulos,Joe Lauzon,-225.0,205.0
2010-11-20,Matt Hughes,BJ Penn,195.0,-215.0
2010-11-20,Aaron Simpson,Mark Munoz,115.0,-125.0
2010-11-20,Karo Parisyan,Dennis Hallman,-160.0,140.0
2010-11-20,Mike Lullo,Edson Barboza,355.0,-445.0
2010-11-20,Paul Kelly,TJ O'Brien,-200.0,170.0
2010-11-20,Tyson Griffin,Nik Lentz,-230.0,190.0
2010-11-20,Matt Brown,Brian Foster,120.0,-130.0
2010-12-04,Jonathan Brookins,Michael Johnson,-230.0,190.0
2010-12-04,Stephan Bonnar,Igor Pokrajac,-240.0,220.0
2010-12-04,Johny Hendricks,Rick Story,-178.0,167.0
2010-12-04,Nam Phan,Leonard Garcia,165.0,-190.0
2010-12-04,Kendall Grove,Demian Maia,265.0,-295.0
2010-12-04,Ian Loveland,Tyler Toner,235.0,-275.0
2010-12-04,Sako Chivitchian,Kyle Watson,150.0,-170.0
2010-12-04,Will Campuzano,Nick Pace,-120.0,100.0
2010-12-04,Fredson Paixao,Pablo Garza,-190.0,165.0
2010-12-04,Rich Attonito,David Branch,140.0,-160.0
2010-12-04,Cody McKenzie,Aaron Wilkinson,-110.0,-110.0
2010-12-11,Georges St-Pierre,Josh Koscheck,-440.0,390.0
2010-12-11,Stefan Struve,Sean McCorkle,-120.0,110.0
2010-12-11,Jim Miller,Charles Oliveira,140.0,-150.0
2010-12-11,Joe Stevenson,Mac Danzig,-240.0,220.0
2010-12-11,Mark Bocek,Dustin Hazelett,-150.0,130.0
2010-12-11,Joe Doerksen,Dan Miller,210.0,-250.0
2010-12-11,Matthew Riddle,Sean Pierson,-250.0,210.0
2010-12-11,TJ Grant,Ricardo Almeida,130.0,-150.0
2010-12-11,Pat Audinwood,John Makdessi,-145.0,125.0
2010-12-11,Thiago Alves,John Howard,-300.0,270.0
2011-01-01,Nate Diaz,Dong Hyun Kim,121.0,-131.0
2011-01-01,Clay Guida,Takanori Gomi,-137.0,127.0
2011-01-01,Chris Leben,Brian Stann,-147.0,137.0
2011-01-01,Jeremy Stephens,Marcus Davis,-300.0,250.0
2011-01-01,Jacob Volkmann,Antonio McKee,170.0,-200.0
2011-01-01,Phil Baroni,Brad Tavares,240.0,-280.0
2011-01-01,Daniel Roberts,Greg Soto,-115.0,-105.0
2011-01-01,Dustin Poirier,Josh Grispi,250.0,-300.0
2011-01-01,Mike Brown,Diego Nunes,-225.0,185.0
2011-01-22,Will Campuzano,Chris Cariaso,100.0,-120.0
2011-01-22,Melvin Guillard,Evan Dunham,205.0,-225.0
2011-01-22,Matt Mitrione,Tim Hague,-250.0,230.0
2011-01-22,Pat Barry,Joey Beltran,-174.0,164.0
2011-01-22,Cole Miller,Matt Wiman,-135.0,125.0
2011-01-22,Mark Hominick,George Roop,-250.0,230.0
2011-01-22,DaMarques Johnson,Mike Guymon,-125.0,105.0
2011-01-22,Rani Yahya,Mike Brown,290.0,-350.0
2011-01-22,Waylon Lowe,Willamy Freire,-110.0,-110.0
2011-01-22,Charlie Brenneman,Amilcar Alves,-220.0,180.0
2011-01-22,Cody McKenzie,Yves Edwards,255.0,-310.0
2011-02-05,Jake Ellenberger,Carlos Eduardo Rocha,-280.0,255.0
2011-02-05,Anderson Silva,Vitor Belfort,-210.0,190.0
2011-02-05,Forrest Griffin,Rich Franklin,118.0,-128.0
2011-02-05,Jon Jones,Ryan Bader,-285.0,258.0
2011-02-05,Miguel Torres,Antonio Banuelos,-320.0,290.0
2011-02-05,Paul Taylor,Gabe Ruediger,-220.0,180.0
2011-02-05,Chad Mendes,Michihiro Omigawa,-365.0,305.0
2011-02-05,Norifumi Yamamoto,Demetrious Johnson,-115.0,-105.0
2011-02-05,Kyle Kingsbury,Ricardo Romero,115.0,-135.0
2011-02-05,Mike Pierce,Kenny Robertson,-240.0,200.0
2011-02-05,Donald Cerrone,Paul Kelly,-275.0,235.0
2011-02-26,Chris Camozzi,Kyle Noke,170.0,-185.0
2011-02-26,Michael Bisping,Jorge Rivera,-290.0,260.0
2011-02-26,George Sotiropoulos,Dennis Siver,-360.0,325.0
2011-02-26,Brian Ebersole,Chris Lytle,260.0,-320.0
2011-02-26,Ross Pearson,Spencer Fisher,-185.0,160.0
2011-02-26,Tiequan Zhang,Jason Reinhardt,-300.0,250.0
2011-02-26,Nick Ring,Riki Fukuda,100.0,-120.0
2011-02-26,Tom Blackledge,Anthony Perosh,-190.0,165.0
2011-02-26,Maciej Jewtuszko,Curt Warburton,-155.0,135.0
2011-02-26,Mark Hunt,Chris Tuchscherer,225.0,-265.0
2011-02-26,Alexander Gustafsson,James Te Huna,-350.0,290.0
2011-03-03,Diego Sanchez,Martin Kampmann,125.0,-135.0
2011-03-03,CB Dollaway,Mark Munoz,160.0,-170.0
2011-03-03,Alessio Sakara,Chris Weidman,190.0,-230.0
2011-03-03,Brian Bowles,Damacio Page,-310.0,255.0
2011-03-03,Steve Cantwell,Cyrille Diabate,-145.0,125.0
2011-03-03,Thiago Tavares,Shane Roller,105.0,-115.0
2011-03-03,Takeya Mizugaki,Reuben Duran,-225.0,185.0
2011-03-03,Rob Kimmons,Dongi Yang,185.0,-225.0
2011-03-03,David Branch,Rousimar Palhares,140.0,-160.0
2011-03-03,Igor Pokrajac,Todd Brown,-235.0,195.0
2011-03-03,Joe Stevenson,Danny Castillo,-130.0,110.0
2011-03-19,Mauricio Rua,Jon Jones,195.0,-215.0
2011-03-19,Urijah Faber,Eddie Wineland,-400.0,355.0
2011-03-19,Jim Miller,Kamal Shalorus,-255.0,235.0
2011-03-19,Dan Miller,Nate Marquardt,285.0,-315.0
2011-03-19,Mirko Cro Cop,Brendan Schaub,225.0,-245.0
2011-03-19,Kurt Pellegrino,Gleison Tibau,125.0,-145.0
2011-03-19,Edson Barboza,Anthony Njokuani,-260.0,220.0
2011-03-19,Luiz Cane,Eliot Marshall,-185.0,160.0
2011-03-19,Erik Koch,Raphael Assuncao,-165.0,145.0
2011-03-19,Costas Philippou,Nick Catone,175.0,-210.0
2011-03-19,Joseph Benavidez,Ian Loveland,-450.0,360.0
2011-03-19,Ricardo Almeida,Mike Pyle,-150.0,130.0
2011-03-26,Phil Davis,Rogerio Nogueira,-255.0,235.0
2011-03-26,Anthony Johnson,Dan Hardy,-173.0,163.0
2011-03-26,DaMarques Johnson,Amir Sadollah,220.0,-240.0
2011-03-26,Jon Madsen,Mike Russow,-300.0,250.0
2011-03-26,Alex Caceres,Mackens Semerzier,190.0,-210.0
2011-03-26,Chan Sung Jung,Leonard Garcia,-125.0,105.0
2011-03-26,Michael McDonald,Edwin Figueroa,-460.0,365.0
2011-03-26,Sean McCorkle,Christian Morecraft,180.0,-220.0
2011-03-26,Johny Hendricks,TJ Waldburger,-325.0,265.0
2011-03-26,Mario Miranda,Aaron Simpson,175.0,-210.0
2011-03-26,Waylon Lowe,Nik Lentz,160.0,-185.0
2011-03-26,John Hathaway,Kris McCray,-390.0,320.0
2011-04-30,Georges St-Pierre,Jake Shields,-455.0,405.0
2011-04-30,Jose Aldo,Mark Hominick,-500.0,435.0
2011-04-30,Lyoto Machida,Randy Couture,-350.0,318.0
2011-04-30,Vladimir Matyushenko,Jason Brilz,-102.0,-108.0
2011-04-30,Mark Bocek,Benson Henderson,140.0,-150.0
2011-04-30,Nate Diaz,Rory MacDonald,127.0,-137.0
2011-04-30,Jake Ellenberger,Sean Pierson,-200.0,185.0
2011-04-30,Yves Jabouin,Pablo Garza,-160.0,150.0
2011-04-30,John Makdessi,Kyle Watson,-170.0,160.0
2011-04-30,Daniel Roberts,Claude Patrick,110.0,-120.0
2011-04-30,Ivan Menjivar,Charlie Valencia,-185.0,170.0
2011-04-30,Jason MacDonald,Ryan Jensen,115.0,-125.0
2011-05-28,Cole Escovedo,Renan Barao,315.0,-345.0
2011-05-28,Michael McDonald,Chris Cariaso,-380.0,340.0
2011-05-28,Gleison Tibau,Rafaello Oliveira,-430.0,380.0
2011-05-28,Kendall Grove,Tim Boetsch,-125.0,115.0
2011-05-28,Brian Stann,Jorge Santiago,-140.0,130.0
2011-05-28,Thiago Alves,Rick Story,-230.0,210.0
2011-05-28,Stefan Struve,Travis Browne,118.0,-128.0
2011-05-28,Frank Mir,Roy Nelson,-120.0,110.0
2011-05-28,Rampage Jackson,Matt Hamill,-305.0,275.0
2011-05-28,Miguel Torres,Demetrious Johnson,-120.0,110.0
2011-06-04,Fabio Maldonado,Kyle Kingsbury,165.0,-190.0
2011-06-04,Ramsey Nijem,Tony Ferguson,-105.0,-115.0
2011-06-04,Clay Guida,Anthony Pettis,200.0,-220.0
2011-06-04,Ed Herman,Tim Credeur,-130.0,110.0
2011-06-04,Chuck O'Neil,Chris Cope,-175.0,155.0
2011-06-04,Josh Grispi,George Roop,-420.0,335.0
2011-06-04,Ryan McGillivray,Shamar Bailey,250.0,-300.0
2011-06-04,Clay Harvison,Justin Edwards,170.0,-200.0
2011-06-04,Scott Jorgensen,Ken Stone,-460.0,365.0
2011-06-04,Reuben Duran,Francisco Rivera,-230.0,190.0
2011-06-04,Danny Downes,Jeremy Stephens,300.0,-360.0
2011-06-11,Kenny Florian,Diego Nunes,-220.0,200.0
2011-06-11,Mark Munoz,Demian Maia,-150.0,140.0
2011-06-11,Dave Herman,Jon Olav Einemo,-143.0,133.0
2011-06-11,Vagner Rocha,Donald Cerrone,325.0,-400.0
2011-06-11,Yves Edwards,Sam Stout,167.0,-178.0
2011-06-11,Shane Carwin,Junior Dos Santos,145.0,-155.0
2011-06-11,Mike Massenzio,Krzysztof Soszynski,265.0,-325.0
2011-06-11,Nick Ring,James Head,-130.0,110.0
2011-06-11,Dustin Poirier,Jason Young,-335.0,275.0
2011-06-11,Joey Beltran,Aaron Rosa,115.0,-135.0
2011-06-11,Darren Elkins,Michihiro Omigawa,175.0,-210.0
2011-06-11,Jesse Bongfeldt,Chris Weidman,420.0,-475.0
2011-06-26,Cheick Kongo,Pat Barry,-200.0,185.0
2011-06-26,Charlie Brenneman,Rick Story,415.0,-470.0
2011-06-26,Matt Brown,John Howard,235.0,-255.0
2011-06-26,Christian Morecraft,Matt Mitrione,235.0,-255.0
2011-06-26,Tyson Griffin,Manvel Gamburyan,-255.0,215.0
2011-06-26,Joe Lauzon,Curt Warburton,-320.0,260.0
2011-06-26,Daniel Roberts,Rich Attonito,-110.0,-110.0
2011-06-26,Ricardo Lamas,Matt Grice,-165.0,145.0
2011-06-26,Michael Johnson,Edward Faaloloto,-560.0,430.0
2011-06-26,Joe Stevenson,Javier Vazquez,-170.0,150.0
2011-07-02,Tito Ortiz,Ryan Bader,500.0,-600.0
2011-07-02,Dominick Cruz,Urijah Faber,-185.0,170.0
2011-07-02,Wanderlei Silva,Chris Leben,-200.0,185.0
2011-07-02,Dennis Siver,Matt Wiman,-105.0,-105.0
2011-07-02,Carlos Condit,Dong Hyun Kim,101.0,-111.0
2011-07-02,Jeff Hougland,Donny Walker,160.0,-170.0
2011-07-02,George Sotiropoulos,Rafael Dos Anjos,-215.0,195.0
2011-07-02,Brian Bowles,Takeya Mizugaki,-315.0,285.0
2011-07-02,Brad Tavares,Aaron Simpson,205.0,-245.0
2011-07-02,Anthony Njokuani,Andre Winner,-145.0,135.0
2011-07-02,Melvin Guillard,Shane Roller,-280.0,255.0
2011-08-06,Rashad Evans,Tito Ortiz,-375.0,335.0
2011-08-06,Vitor Belfort,Yoshihiro Akiyama,-320.0,290.0
2011-08-06,Dennis Hallman,Brian Ebersole,115.0,-125.0
2011-08-06,Jorge Rivera,Costas Philippou,-135.0,125.0
2011-08-06,Rory MacDonald,Mike Pyle,-255.0,235.0
2011-08-06,Chad Mendes,Rani Yahya,-540.0,460.0
2011-08-06,Ivan Menjivar,Nick Pace,-164.0,154.0
2011-08-06,Johny Hendricks,Mike Pierce,-142.0,132.0
2011-08-06,Mike Brown,Nam Phan,-210.0,190.0
2011-08-06,Rafael Natal,Paul Bradley,130.0,-140.0
2011-08-06,Matt Hamill,Alexander Gustafsson,140.0,-150.0
2011-08-14,Amir Sadollah,Duane Ludwig,-395.0,350.0
2011-08-14,Dan Hardy,Chris Lytle,-104.0,-106.0
2011-08-14,Jim Miller,Benson Henderson,-170.0,160.0
2011-08-14,Donald Cerrone,Charles Oliveira,104.0,-114.0
2011-08-14,CB Dollaway,Jared Hamman,-240.0,220.0
2011-08-14,Edwin Figueroa,Jason Reinhardt,-385.0,345.0
2011-08-14,Ed Herman,Kyle Noke,122.0,-132.0
2011-08-14,Ronny Markes,Karlos Vemola,200.0,-220.0
2011-08-14,Jimy Hettes,Alex Caceres,-420.0,375.0
2011-08-14,Cole Miller,TJ O'Brien,-440.0,390.0
2011-08-14,Jacob Volkmann,Danny Castillo,-120.0,100.0
2011-08-14,Joseph Benavidez,Eddie Wineland,-295.0,265.0
2011-08-27,Anderson Silva,Yushin Okami,-600.0,500.0
2011-08-27,Mauricio Rua,Forrest Griffin,-210.0,190.0
2011-08-27,Ross Pearson,Edson Barboza,248.0,-270.0
2011-08-27,Minotauro Nogueira,Brendan Schaub,230.0,-250.0
2011-08-27,Luiz Cane,Stanislav Nedkov,-240.0,220.0
2011-08-27,Thiago Tavares,Spencer Fisher,-185.0,170.0
2011-08-27,Paulo Thiago,David Mitchell,-415.0,370.0
2011-08-27,Raphael Assuncao,Johnny Eduardo,-155.0,145.0
2011-08-27,Erick Silva,Luis Ramos,-280.0,255.0
2011-08-27,Iuri Alcantara,Felipe Arantes,-475.0,420.0
2011-08-27,Yves Jabouin,Ian Loveland,170.0,-185.0
2011-08-27,Rousimar Palhares,Dan Miller,-245.0,225.0
2011-09-17,Jake Shields,Jake Ellenberger,-135.0,125.0
2011-09-17,Court McGee,Dongi Yang,-174.0,164.0
2011-09-17,Jonathan Brookins,Erik Koch,185.0,-200.0
2011-09-17,Alan Belcher,Jason MacDonald,-290.0,260.0
2011-09-17,Cody McKenzie,Vagner Rocha,170.0,-185.0
2011-09-17,Ken Stone,Donny Walker,-165.0,155.0
2011-09-17,Matthew Riddle,Lance Benoist,-210.0,175.0
2011-09-17,Clay Harvison,Seth Baczynski,140.0,-150.0
2011-09-17,TJ Waldburger,Mike Stumpf,-230.0,210.0
2011-09-17,Robert Peralta,Mike Lullo,-130.0,120.0
2011-09-17,Justin Edwards,Jorge Lopez,320.0,-390.0
2011-09-17,Evan Dunham,Shamar Bailey,-415.0,370.0
2011-09-24,Jon Jones,Rampage Jackson,-500.0,435.0
2011-09-24,Matt Hughes,Josh Koscheck,350.0,-395.0
2011-09-24,Ben Rothwell,Mark Hunt,-355.0,320.0
2011-09-24,Travis Browne,Rob Broughton,-420.0,375.0
2011-09-24,Tony Ferguson,Aaron Riley,-340.0,310.0
2011-09-24,Nick Ring,Tim Boetsch,177.0,-192.0
2011-09-24,Junior Assuncao,Eddie Yagin,125.0,-135.0
2011-09-24,Takeya Mizugaki,Cole Escovedo,-220.0,200.0
2011-09-24,James Te Huna,Ricardo Romero,-152.0,142.0
2011-09-24,Nate Diaz,Takanori Gomi,-255.0,235.0
2011-10-01,Matt Wiman,Mac Danzig,-220.0,200.0
2011-10-01,Pat Barry,Stefan Struve,-165.0,155.0
2011-10-01,Anthony Johnson,Charlie Brenneman,-200.0,185.0
2011-10-01,Yves Edwards,Rafaello Oliveira,-155.0,145.0
2011-10-01,Dominick Cruz,Demetrious Johnson,-550.0,425.0
2011-10-01,Mike Easton,Byron Bloodworth,-390.0,320.0
2011-10-01,Shane Roller,TJ Grant,-174.0,164.0
2011-10-01,Josh Neer,Keith Wisniewski,-260.0,240.0
2011-10-01,Walel Watson,Joseph Sandoval,100.0,-110.0
2011-10-01,Michael Johnson,Paul Sass,-173.0,163.0
2011-10-08,Frankie Edgar,Gray Maynard,-125.0,115.0
2011-10-08,Jose Aldo,Kenny Florian,-355.0,320.0
