feature,nan_pct,zero_pct,std,unique,corr,importance,sd
winrate_diff,0.0,1.8401994538762911,0.1310986389402985,4838,0.3146194788134089,0.09305047549378206,0.012757998160404738
striking_trajectory_diff,0.0,96.23649531045946,0.2257725374695507,255,-0.01526726281191739,0.011558156547183663,0.0033808983199096693
td_def_diff,0.0,2.1488780719458624,28.940191277356565,182,0.18240808288702304,0.011411850768105403,0.005715296264703584
sapm_diff,0.0,0.42740116348094503,1.66816455028594,2126,-0.1651737610913782,0.009802487198244392,0.002386175044667191
been_finished_diff,0.0,36.8277335866081,1.795176032283136,22,-0.12166877027335994,0.00965618141916611,0.0023317304243612425
footwork_diff,0.0,0.04748901816454945,0.7480838536914656,8316,0.24958981125899635,0.008339429407461619,0.00536764779161496
td_off_diff,0.0,1.5196485812655824,1.8315221863118727,2179,0.11878554019340591,0.007607900512070276,0.0034807248729686407
power_diff,0.0,0.04748901816454945,6.265736555987321,7406,0.22987927417778875,0.006291148500365806,0.002721444804350887
combined_pace,0.0,0.0,2.1489047265775576,1513,-0.12643246933644628,0.005559619604974464,0.0037185852310574557
consistency_diff,0.0,5.864893743321857,0.20336678598666122,7878,-0.05129784601726152,0.004535479151426536,0.002713567957716362
acc_diff,0.0,3.8584827258696426,10.854292462830918,106,0.18599777132664055,0.004096561814191713,0.005863193828679998
mom_quality_diff,0.0,6.600973524872374,0.7592608052656361,6831,0.13108629150355178,0.0024871982443306793,0.0011885937680520774
trajectory_diff,0.0,96.23649531045946,0.12340084929123583,302,-0.02528980292965439,0.0021945866861741827,0.006224446930850813
td_acc_diff,0.0,4.713285052831533,26.68154368492137,179,0.11643461805567616,0.0019019751280175746,0.0034498393921146018
is_title,0.0,94.90680280185208,0.2198718847243279,2,0.048248165500493274,0.0014630577907827958,0.0013879784901982605
is_womens,0.0,88.98254778582452,0.3131257531560341,2,-0.03979912499313443,0.0013167520117044918,0.001562118251943133
ko_vulnerability_diff,0.0,59.08821085124065,0.6349307660100257,3,-0.08568782784273839,0.0011704462326262543,0.00035837450516215295
sub_diff,0.0,11.112430250504572,1.0088542798165032,239,0.024373769576068197,0.0011704462326262543,0.0015063101888788785
exp_diff,0.0,4.107800071233527,14.006175085238993,125,0.06048897622028316,0.0011704462326262322,0.005446820912651444
def_diff,0.0,4.475839962008785,10.219444874776931,107,0.16349776611825168,0.0011704462326262322,0.0007460160224715234
