label,bets,wins,hit_rate,profit,roi,roi_low,roi_high
2011,284,173,0.6091549295774648,15.986759352750767,0.05629140617165763,-0.054420611672421224,0.17978770559042148
2012,324,206,0.6358024691358025,30.638415974308707,0.0945630122663849,-0.009368083824756438,0.19992052568687946
2013,356,221,0.6207865168539326,11.798960000844447,0.03314314606978777,-0.05975353495403533,0.13043096086157827
2014,461,300,0.6507592190889371,46.00537705348782,0.09979474415073279,0.016933410292209218,0.18904210313171574
2015,432,271,0.6273148148148148,38.02158955471492,0.08801293878406231,-0.004202703687349954,0.17874868138143185
2016,448,276,0.6160714285714286,10.967164305224868,0.024480277467019796,-0.05782347873611223,0.10315744054067509
2017,406,261,0.6428571428571429,49.406228660930125,0.12169021837667518,0.02912585249807235,0.20834596210611728
2018,436,266,0.6100917431192661,20.681671340182984,0.047435026009594,-0.03983727055797547,0.13703090227894668
2019,457,275,0.6017505470459519,-3.0109986241703073,-0.0065886184336330575,-0.08675765768892045,0.07284775349783468
2020,410,254,0.6195121951219512,4.025073656929037,0.00981725282177814,-0.0736468623436784,0.09376075122350293
2021,469,274,0.5842217484008528,-22.79517375453875,-0.048603781992619936,-0.12155467730816832,0.029999756047731096
2022,477,297,0.6226415094339622,4.938860321515401,0.010354004866908597,-0.06557416752227836,0.09077496361139088
2023,415,264,0.636144578313253,-0.7681313530869527,-0.0018509189231010908,-0.08054192141427226,0.07691483001517255
2024,368,221,0.6005434782608695,-25.072278203169983,-0.06813119076948365,-0.15186875050959447,0.01892313710727069
2026,200,131,0.655,-2.7694820984643944,-0.013847410492321972,-0.11788371089500384,0.09982915089092277
