label,bets,wins,hit_rate,profit,roi,roi_low,roi_high,parlays,mean_multiplier
MODEL,131,82,0.6259541984732825,1.151918714250911,0.008793272627869551,-0.14732345121192758,0.1608026072419689,,
FADE (flagged only),22,15,0.6818181818181818,0.5056730791952466,0.0229851399634203,-0.29007520486416594,0.2887249524356275,,
COMBINED,131,90,0.6870229007633588,7.334648070502443,0.055989679927499564,-0.08425113553529695,0.19302450340248814,,
2 legs,9,4,0.4444444444444444,-3.79174540186445,-0.42130504465160556,,,9.0,2.0445854268840273
3 legs,8,4,0.5,-0.9691322406387606,-0.12114153007984507,,,8.0,2.89035476338238
4 legs,8,2,0.25,-1.3444083137370164,-0.16805103921712705,,,8.0,5.831679140701532
