date,event,pick,opponent,model,market,odds,won,profit,disagreement,is_favourite
2026-04-25,UFC Fight Night: Sterling vs. Zalal,Rafa Garcia,Alexander Hernandez,0.7853997300085475,0.48427672955974843,-105.0,1.0,0.9523809523809523,0.301123000448799,True
2026-04-25,UFC Fight Night: Sterling vs. Zalal,Ryan Spann,Marcus Buchecha,0.7383611895967009,0.4032860343539955,135.0,1.0,1.35,0.3350751552427054,False
2026-04-25,UFC Fight Night: Sterling vs. Zalal,Montel Jackson,Raoni Barcelos,0.7606501376105247,0.6385542168674698,-200.0,0.0,-1.0,0.12209592074305486,True
2026-04-25,UFC Fight Night: Sterling vs. Zalal,Rodolfo Vieira,Eric McConico,0.8523607441423348,0.7341211225997046,-350.0,0.0,-1.0,0.11823962154263012,True
2026-04-25,UFC Fight Night: Sterling vs. Zalal,Sedriques Dumas,Jackson McVey,0.8424075014180713,0.37037037037037035,155.0,0.0,-1.0,0.47203713104770095,False
2026-04-25,UFC Fight Night: Sterling vs. Zalal,Mayra Bueno Silva,Michelle Montague,0.562995842202224,0.21052631578947367,350.0,0.0,-1.0,0.3524695264127503,False
2026-04-25,UFC Fight Night: Sterling vs. Zalal,Jafel Filho,Cody Durden,0.7458910532187545,0.8279569892473118,-700.0,0.0,-1.0,-0.08206593602855727,True
2026-04-25,UFC Fight Night: Sterling vs. Zalal,Julia Polastri,Talita Alencar,0.7503827245933388,0.6805678793256432,-260.0,0.0,-1.0,0.06981484526769555,True
2026-06-06,UFC Fight Night: Muhammad vs. Bonfim,Gabriel Bonfim,Belal Muhammad,0.6428572231306965,0.4947698744769875,-110.0,1.0,0.9090909090909091,0.14808734865370898,True
2026-06-06,UFC Fight Night: Muhammad vs. Bonfim,Brendan Allen,Edmen Shahbazyan,0.7683532555692312,0.6139519133084999,-185.0,1.0,0.5405405405405406,0.15440134226073132,True
2026-06-06,UFC Fight Night: Muhammad vs. Bonfim,Fares Ziam,Tom Nolan,0.5442486031461667,0.7300613496932514,-340.0,0.0,-1.0,-0.18581274654708468,True
2026-06-06,UFC Fight Night: Muhammad vs. Bonfim,Bryce Mitchell,Santiago Luna,0.8879275785966844,0.5157232704402516,-120.0,1.0,0.8333333333333334,0.3722043081564328,True
2026-06-06,UFC Fight Night: Muhammad vs. Bonfim,Iwo Baraniewski,Junior Tafa,0.529937433175948,0.7572815533980582,-400.0,1.0,0.25,-0.22734412022211026,True
2026-06-06,UFC Fight Night: Muhammad vs. Bonfim,Alessandro Costa,Matt Schnell,0.6596264250049364,0.7696245733788397,-440.0,1.0,0.22727272727272727,-0.10999814837390332,True
2026-06-06,UFC Fight Night: Muhammad vs. Bonfim,Marcus McGhee,John Yannis,0.9093929367514649,0.7864077669902912,-450.0,1.0,0.2222222222222222,0.12298516976117368,True
2026-06-06,UFC Fight Night: Muhammad vs. Bonfim,Edgar Chairez,Bruno Silva,0.8763243456494048,0.4782608695652174,100.0,1.0,1.0,0.39806347608418735,False
2026-06-06,UFC Fight Night: Muhammad vs. Bonfim,Priscila Cachoeira,Chelsea Chandler,0.6587419399336079,0.4675324675324675,105.0,0.0,-1.0,0.19120947240114033,False
2026-06-06,UFC Fight Night: Muhammad vs. Bonfim,Jordan Leavitt,Joanderson Brito,0.8597784572634919,0.38604808669150015,145.0,0.0,-1.0,0.47373037057199174,False
2026-06-06,UFC Fight Night: Muhammad vs. Bonfim,Ketlen Souza,Ariane Carnelossi,0.6413324446909191,0.7229381443298969,-330.0,1.0,0.30303030303030304,-0.08160569963897779,True
2026-06-14,UFC Freedom 250: Topuria vs. Gaethje (White House),Ciryl Gane,Alex Pereira,0.7069307515416896,0.4891657638136511,-105.0,1.0,0.9523809523809523,0.21776498772803848,True
2026-06-14,UFC Freedom 250: Topuria vs. Gaethje (White House),Sean O'Malley,Aiemann Zahabi,0.6923436834939509,0.7483588621444202,-360.0,1.0,0.2777777777777778,-0.05601517865046923,True
2026-06-14,UFC Freedom 250: Topuria vs. Gaethje (White House),Josh Hokit,Derrick Lewis,0.5454437442522282,0.7369226063016213,-330.0,1.0,0.30303030303030304,-0.19147886204939313,True
2026-06-14,UFC Freedom 250: Topuria vs. Gaethje (White House),Mauricio Ruffy,Michael Chandler,0.7793445196189901,0.84,-700.0,1.0,0.14285714285714285,-0.060655480381009874,True
2026-06-14,UFC Freedom 250: Topuria vs. Gaethje (White House),Bo Nickal,Kyle Daukaus,0.7104760760199988,0.7183098591549295,-300.0,1.0,0.3333333333333333,-0.00783378313493066,True
2026-06-14,UFC Freedom 250: Topuria vs. Gaethje (White House),Steve Garcia,Diego Lopes,0.7301115561398703,0.37661050545094155,155.0,0.0,-1.0,0.3535010506889288,False
2026-06-20,UFC Fight Night: Kape vs. Horiguchi,Kyoji Horiguchi,Manel Kape,0.6610006093636354,0.40090771558245086,140.0,0.0,-1.0,0.2600928937811845,False
2026-06-20,UFC Fight Night: Kape vs. Horiguchi,Navajo Stirling,Ion Cutelaba,0.8868240733502426,0.725752508361204,-310.0,1.0,0.3225806451612903,0.16107156498903863,True
2026-06-20,UFC Fight Night: Kape vs. Horiguchi,Hyder Amil,Christian Rodriguez,0.7977383108086868,0.32558139534883723,190.0,0.0,-1.0,0.4721569154598496,False
2026-06-20,UFC Fight Night: Kape vs. Horiguchi,Vinicius Oliveira,Andre Fili,0.8344395941739362,0.6805555555555556,-245.0,1.0,0.40816326530612246,0.15388403861838063,True
2026-06-20,UFC Fight Night: Kape vs. Horiguchi,Andre Lima,Kevin Borjas,0.8964585252418534,0.8279569892473118,-700.0,0.0,-1.0,0.06850153599454167,True
2026-06-20,UFC Fight Night: Kape vs. Horiguchi,Bia Mesquita,Melissa Mullins,0.547815953367563,0.8198198198198199,-650.0,1.0,0.15384615384615385,-0.27200386645225694,True
2026-06-20,UFC Fight Night: Kape vs. Horiguchi,Allan Nascimento,Mitch Raposo,0.8199268385949495,0.5829926410466066,-155.0,0.0,-1.0,0.23693419754834288,True
2026-06-20,UFC Fight Night: Kape vs. Horiguchi,Gaston Bolanos,Michael Aswell Jr.,0.5753213990132872,0.23456199138343706,310.0,1.0,3.1,0.34075940762985013,False
2026-06-20,UFC Fight Night: Kape vs. Horiguchi,Karol Rosa,Luana Santos,0.5797019367917657,0.5052301255230125,-115.0,0.0,-1.0,0.07447181126875324,True
