p_ensemble,p_platt,logged,red_won
0.3681629653701031,0.2905202826244681,0.40014568143722506,1.0
0.737471656914794,0.778980089982354,0.7491502583758634,1.0
0.2143572829528757,0.1431528777446425,0.17067909237179257,1.0
0.8219344631455301,0.8522101014713437,0.8287958903630237,1.0
0.5543496898096488,0.547944457802634,0.6037608410557949,0.0
0.8127315253814521,0.8453256801728934,0.8952197371136317,1.0
0.8183725754206477,0.8495761041131235,0.8463107898819271,1.0
0.6787924633132555,0.7145750732806808,0.6282762201542856,1.0
0.6716406507537004,0.7059974573850231,0.6263441758787999,1.0
0.7935208566666572,0.830112801611114,0.8492142246969917,1.0
0.29150692995423505,0.2075653371091645,0.25720545290558905,0.0
0.19004077860246218,0.1266310777589327,0.09373292152013413,0.0
0.7744843435763311,0.8138871804052817,0.8019777567324426,1.0
0.9246786222300721,0.9130062755812094,0.8770249966548603,1.0
0.3870327423052204,0.31370119963618887,0.4091444738809351,1.0
0.34267820068325444,0.2608796299899711,0.28166943672390077,0.0
0.49787718089443583,0.465855054952821,0.5119331546234928,0.0
0.18739704441227026,0.1249366315516489,0.17915828583992932,0.0
0.5173343897709136,0.49415467383432615,0.4420862772106322,0.0
0.5080690799740158,0.48066286890195153,0.48686916050001516,1.0
0.2783386424508363,0.19522375086567195,0.2489353782910747,1.0
0.6934362165774041,0.731660400505501,0.7779235796819158,1.0
0.20554494349042018,0.1369672369647272,0.20040169669010743,1.0
0.8725554867967076,0.8856538991405526,0.8768623519703251,1.0
0.7286243768518378,0.7699740206081261,0.7887366239330198,1.0
0.34267820068325444,0.2608796299899711,0.2860818865900342,0.0
0.49787718089443583,0.465855054952821,0.4624720169628007,0.0
0.18739704441227026,0.1249366315516489,0.15991774769505318,0.0
0.8725554867967076,0.8856538991405526,0.9222348622498099,1.0
0.5173343897709136,0.49415467383432615,0.5111642343229879,0.0
0.5080690799740158,0.48066286890195153,0.5529912536117589,1.0
0.2783386424508363,0.19522375086567195,0.2686872522109557,1.0
0.6934362165774041,0.731660400505501,0.6935556308184074,1.0
0.20554494349042018,0.1369672369647272,0.16811653187200393,1.0
0.45811036205272465,0.4088837714646319,0.45037159899680623,1.0
0.35042925286625426,0.269684655768513,0.29218768216806024,0.0
0.27154253775403164,0.18907521123238694,0.21499324083483007,1.0
0.807018117740475,0.8409212246449889,0.8466572310991136,1.0
0.767345629531531,0.8075019204833341,0.7926324937612129,1.0
0.2701253769464254,0.18781195949309182,0.21854218263036407,1.0
0.44783698815220374,0.394493607521514,0.42444307911535994,1.0
0.6888102071518988,0.7263335847255616,0.6645793775850579,1.0
0.304827258141865,0.22062573158530058,0.21629828602572365,0.0
0.6840353017905653,0.7207667210586822,0.7049018606186286,1.0
0.8324780427498096,0.8597839685354287,0.8542192581544051,0.0
0.16275630794985632,0.1100614847972229,0.12069120796708,0.0
0.3166355064192021,0.23268767024318446,0.26062618803294424,1.0
0.3353734850912269,0.2527538223498278,0.2844270264798765,0.0
0.7993986418128717,0.834889824992229,0.8617495027227029,1.0
0.31755670352615367,0.23364771812831497,0.2396921641508616,1.0
0.4438255897316073,0.388922561179525,0.36240638099512723,0.0
0.2150960916896454,0.143681900922149,0.15533573047994687,1.0
0.28476087599602,0.20117211971120433,0.2001263729216115,0.0
0.4916922550725982,0.4568965562488969,0.43721398054655225,0.0
0.16298285736510396,0.11019089066438849,0.10413451320208345,1.0
0.23848252069725442,0.16128100567871403,0.1411431407328132,0.0
0.4113906274260497,0.3450437431683218,0.3593956686494173,0.0
0.1940957154352496,0.12926815741025455,0.11134070675244478,0.0
0.5970075960069563,0.6084994770771828,0.6315376820099223,0.0
0.7591069538626999,0.7999270443576807,0.8285802008294336,1.0
0.702312501403485,0.7416956365599624,0.7605710222139764,1.0
0.405837191356812,0.33776578371686855,0.3058698824771464,0.0
0.9486415137106553,0.9234787552589038,0.9584427226761593,1.0
0.5610744289910702,0.5576340374757027,0.5238532751342504,0.0
0.5673051218472983,0.5665729288473326,0.6174149737184867,0.0
0.4906253167066568,0.4553538117382207,0.48482275336064473,1.0
0.6184675857049639,0.6378611996224783,0.6949368570547132,0.0
0.4334303948766411,0.3746231223961845,0.39422888102860965,1.0
0.753268208824878,0.7944247517376649,0.7535668496764416,1.0
0.2401203767604522,0.16257654551982326,0.22705717163438377,1.0
0.39797543396574314,0.32759330413956317,0.36861466329965753,0.0
0.8080179633432455,0.8416992778429729,0.8456404619300164,1.0
0.3030402305501612,0.21883990348855198,0.1957788257761781,0.0
0.5811332524727607,0.5862495032463999,0.5434149085518981,0.0
0.13891748116364616,0.0971708389211932,0.1193356846736161,1.0
0.24519198786164942,0.16664137833559203,0.18375022505655503,0.0
0.7670126219799563,0.8072000259586113,0.9522506045064567,1.0
0.5933222032494799,0.6033703316266834,0.6069231217711432,0.0
0.44821728280164574,0.3950232128599182,0.37727937705396686,0.0
0.38164905796140164,0.3069851467985519,0.3714504296299621,1.0
0.6745318538390186,0.709483154028601,0.7213971299757801,1.0
0.8226563178926799,0.852739240174807,0.858790068466158,1.0
0.6263163542914301,0.648360711137498,0.6160874385986816,1.0
0.6745636622342822,0.7095213669582221,0.6999910618397309,1.0
0.21556955881179288,0.14402178125844411,0.1217521844743581,0.0
0.5442926038985224,0.5333875160856432,0.5763587638317935,1.0
0.643516720966089,0.6708643866273882,0.7689504698913127,1.0
0.4471709943558493,0.3935667295913198,0.44113618578875413,0.0
0.3341966333602286,0.2514604678331767,0.3057073323831926,0.0
0.5171180774040111,0.4938395140643111,0.46588153060229087,0.0
0.2575084581368449,0.17685081435692226,0.1546134190303161,1.0
0.7281224179135979,0.7694554163788917,0.7738157467317909,1.0
0.8874732950387312,0.8941686784276145,0.9370940655081434,0.0
0.7858420344212824,0.8237072662057712,0.836850193952243,1.0
0.824639160255571,0.8541846526001601,0.8679686188820097,0.0
0.16117059492844782,0.10915944332606103,0.13034916107102967,0.0
0.34208847241034696,0.2602173798170496,0.2708823530750044,1.0
0.7007278146903556,0.7399220987421211,0.7368538756466118,1.0
0.4888466257381278,0.4527838236112015,0.522013694565264,1.0
0.163730465086854,0.110618873150148,0.1452656208534301,1.0
0.5756591398088976,0.5784894152282007,0.5206051688170317,1.0
0.6030382299750814,0.6168407020787603,0.6734302584228603,0.0
0.3652017559063028,0.2869755829135115,0.3434046443680825,1.0
0.9211054826211814,0.9113378007701108,0.9059441275342163,0.0
0.41391093990764055,0.3483710647289855,0.36243583602580665,1.0
0.6976886350460463,0.7364987103172005,0.7353893924858299,1.0
0.6976521177971557,0.736457401126882,0.7042068735980328,0.0
0.7394816770901406,0.7809906085477862,0.7853997300085475,1.0
0.38764265041996265,0.3144670662378058,0.26163881040329906,0.0
0.6701091463940885,0.7041411882031906,0.7606501376105247,0.0
0.8894141811139408,0.8952344615819945,0.8523607441423348,0.0
0.8280814713950555,0.8566659985603327,0.8424075014180713,0.0
0.557869199244008,0.5530206768386084,0.562995842202224,0.0
0.6986061818819292,0.7375352955580393,0.7458910532187545,0.0
0.355346580902079,0.2753668271500506,0.24961727540666123,1.0
0.4246536181958535,0.3627169341756286,0.3571427768693035,0.0
0.6872959849784602,0.7245757223971393,0.7683532555692312,1.0
0.584945422493956,0.5916286818558073,0.5442486031461667,0.0
0.7955107350894544,0.8317422171307655,0.8879275785966844,1.0
0.5382934332834108,0.5246753635135754,0.529937433175948,1.0
0.39399926119289225,0.32250874714828437,0.3403735749950636,0.0
0.8906574691153938,0.8959121889261166,0.9093929367514649,1.0
0.5752265461413968,0.5778744623719403,0.12367565435059524,0.0
0.6432883932699694,0.6705704599892344,0.6587419399336079,0.0
0.7841174072318918,0.822242776209503,0.8597784572634919,0.0
0.6184348127203052,0.6378170729977581,0.6413324446909191,1.0
0.8568505827919993,0.8760513320597485,0.8565303372456393,0.0
0.35920148122959983,0.2798728586311456,0.2930692484583104,0.0
0.645444538432061,0.6733407249314065,0.6923436834939509,1.0
0.4615819095655489,0.4137833024493861,0.4545562557477718,0.0
0.2504550195457593,0.1709451824436454,0.2206554803810099,0.0
0.6803453542639969,0.7164175717253256,0.7104760760199988,1.0
0.42032985310948917,0.35691181085599855,0.26988844386012967,1.0
0.4173060521409219,0.35287673591942753,0.33899939063636464,1.0
0.14574523270935075,0.1007185788319242,0.1131759266497574,0.0
0.7628647127237299,0.8034094455089763,0.7977383108086868,0.0
0.2134405287932508,0.1424986936363039,0.1655604058260638,0.0
0.9358129695039327,0.9180246455558716,0.8964585252418534,0.0
0.578281191289539,0.5822115153810009,0.547815953367563,1.0
0.8322220265163217,0.8596039738422049,0.8199268385949495,0.0
0.5527232884087553,0.5455952453683101,0.5753213990132872,1.0
0.5669596535522795,0.5660783788997726,0.5797019367917657,0.0
